time,portPktIn,portPktOut,qSize,label
0,205128.0,205128.0,0,2
1,1048771.0,1048771.0,0,2
2,1184148.0,1184148.0,0,2
3,1243200.0,1243200.0,0,2
4,1249811.0,1249811.0,0,2
5,1234550.0,1234550.0,0,2
6,619464.0,619464.0,0,2
7,0.0,0.0,0,2
8,0.0,0.0,0,2
9,0.0,0.0,0,2
10,299159.0,299159.0,0,2
11,1181705.0,1181705.0,0,2
12,1250294.0,1249258.0,1036,2
13,1249416.0,1250452.0,0,2
14,1249416.0,1249416.0,0,2
15,1250452.0,1249416.0,1036,2
16,1249416.0,1249416.0,1036,2
17,1249416.0,1250452.0,0,2
18,1250452.0,1249416.0,1036,2
19,1249343.0,1249343.0,1036,2
20,1263235.0,1249767.0,14504,2
21,1086255.0,1100759.0,0,2
22,872207.0,872207.0,0,2
23,1002216.0,1002216.0,0,2
24,1086357.0,1086357.0,0,2
25,1198652.0,1198652.0,0,2
26,1249416.0,1249416.0,0,2
27,1249961.0,1249961.0,0,2
28,1249416.0,1249416.0,0,2
29,1135392.0,1135392.0,0,2
30,1231804.0,1231804.0,0,2
31,556679.0,556679.0,0,2
32,993834.0,993834.0,0,2
33,0.0,0.0,0,2
34,0.0,0.0,0,2
35,28298.0,28298.0,0,2
36,0.0,0.0,0,2
37,6870.0,6870.0,0,2
38,198912.0,198912.0,0,2
39,1262884.0,1249416.0,13468,2
40,1242894.0,1249416.0,6946,2
41,1061900.0,1068846.0,0,2
42,1160779.0,1160779.0,0,2
43,1078141.0,1078141.0,0,2
44,0.0,0.0,0,2
45,0.0,0.0,0,2
46,380250.0,380250.0,0,2
47,0.0,0.0,0,2
48,0.0,0.0,0,2
49,0.0,0.0,0,2
50,0.0,0.0,0,2
51,1032608.0,1032608.0,0,2
52,1249416.0,1249416.0,0,2
53,1066255.0,1066255.0,0,2
54,0.0,0.0,0,2
55,81464.0,81464.0,0,2
56,104636.0,104636.0,0,2
57,1249416.0,1249416.0,0,2
58,1249416.0,1249416.0,0,2
59,1250452.0,1250452.0,0,2
60,848458.0,848458.0,0,2
61,0.0,0.0,0,2
62,0.0,0.0,0,2
63,951048.0,951048.0,0,2
64,958635.0,958635.0,0,2
65,0.0,0.0,0,2
66,0.0,0.0,0,2
67,0.0,0.0,0,2
68,0.0,0.0,0,2
69,1078891.0,1078891.0,0,2
70,0.0,0.0,0,2
71,0.0,0.0,0,2
72,0.0,0.0,0,2
73,456751.0,456751.0,0,2
74,8855.0,8855.0,0,2
75,938.0,938.0,0,2
76,0.0,0.0,0,2
77,23519.0,23519.0,0,2
78,18760.0,18760.0,0,2
79,43392.0,43392.0,0,2
80,494827.0,494827.0,0,2
81,1249416.0,1249416.0,0,2
82,232055.0,232055.0,0,2
83,67273.0,67273.0,0,2
84,8288.0,8288.0,0,2
85,1272208.0,1249416.0,22792,2
86,1215439.0,1238231.0,0,2
87,1255135.0,1249955.0,5180,2
88,1040517.0,1045697.0,0,2
89,1063972.0,1063972.0,0,2
90,1175808.0,1175808.0,0,2
91,1199540.0,1199540.0,0,2
92,1249416.0,1249416.0,0,2
93,1273854.0,1250026.0,23828,2
94,1257600.0,1249542.0,31886,2
95,1099762.0,1130612.0,1036,2
96,1054648.0,1055684.0,0,2
97,1233876.0,1231804.0,2072,2
98,958033.0,960105.0,0,2
99,1106448.0,1094016.0,12432,2
100,1198152.0,1210584.0,0,2
101,1066973.0,1051433.0,15540,2
102,1249754.0,1249754.0,15540,2
103,1245272.0,1245272.0,15540,2
104,1235948.0,1241128.0,10360,2
105,1241128.0,1243200.0,8288,2
106,1267028.0,1250452.0,24864,2
107,1250568.0,1249532.0,25900,2
108,1201924.0,1214356.0,13468,2
109,1192509.0,1205977.0,0,2
110,473452.0,473452.0,0,2
111,1169644.0,1169644.0,0,2
112,1249416.0,1249416.0,0,2
113,1249416.0,1249416.0,0,2
114,1249416.0,1249416.0,0,2
115,1250452.0,1250452.0,0,2
116,1249788.0,1249788.0,0,2
117,1249157.0,1249157.0,0,2
118,1250754.0,1249718.0,1036,2
119,1250452.0,1249416.0,2072,2
120,1249416.0,1250452.0,1036,2
121,1249416.0,1249416.0,1036,2
122,1250452.0,1249416.0,2072,2
123,1249416.0,1249416.0,2072,2
124,1249416.0,1250452.0,1036,2
125,1249416.0,1249416.0,1036,2
126,1246308.0,1247344.0,0,2
127,1249416.0,1249416.0,0,2
128,1250452.0,1250452.0,0,2
129,1243200.0,1243200.0,0,2
130,1151758.0,1151758.0,0,2
131,1230768.0,1230768.0,0,2
132,1249416.0,1249416.0,0,2
133,1283604.0,1249416.0,34188,2
134,1234182.0,1249722.0,18648,2
135,1008592.0,1027240.0,0,2
136,790959.0,790959.0,0,2
137,866096.0,866096.0,0,2
138,1017688.0,1017688.0,0,2
139,1094016.0,1094016.0,0,2
140,1222522.0,1222522.0,0,2
141,1238729.0,1238729.0,0,2
142,1258874.0,1245406.0,13468,2
143,1257871.0,1249583.0,21756,2
144,1243200.0,1249416.0,15540,2
145,1250156.0,1250156.0,15540,2
146,1248572.0,1249608.0,14504,2
147,1248380.0,1249416.0,13468,2
148,1242117.0,1249369.0,6216,2
149,1258740.0,1250452.0,14504,2
150,1251488.0,1249416.0,16576,2
151,1237900.0,1249296.0,5180,2
152,1249729.0,1249729.0,5180,2
153,763575.0,768755.0,0,2
154,873348.0,859880.0,13468,2
155,1075158.0,1088626.0,0,2
156,744884.0,744884.0,0,2
157,900901.0,900901.0,0,2
158,987399.0,987399.0,0,2
159,1085728.0,1085728.0,0,2
160,1199688.0,1199688.0,0,2
161,1249416.0,1249416.0,0,2
162,1250496.0,1250496.0,0,2
163,1249416.0,1249416.0,0,2
164,1249416.0,1249416.0,0,2
165,1249416.0,1249416.0,0,2
166,1250823.0,1249787.0,1036,2
167,1262884.0,1250452.0,13468,2
168,1248380.0,1249416.0,12432,2
169,1208370.0,1220802.0,0,2
170,1210888.0,1210888.0,0,2
171,1249416.0,1249416.0,0,2
172,1082414.0,1082414.0,0,2
173,4642.0,4642.0,0,2
174,0.0,0.0,0,2
175,0.0,0.0,0,2
176,0.0,0.0,0,2
177,51403.0,51403.0,0,2
178,0.0,0.0,0,2
179,37362.0,37362.0,0,2
180,0.0,0.0,0,2
181,0.0,0.0,0,2
182,0.0,0.0,0,2
183,102564.0,102564.0,0,2
184,1250452.0,1250452.0,0,2
185,1249416.0,1249416.0,0,2
186,1233141.0,1233141.0,0,2
187,265216.0,265216.0,0,2
188,974584.0,974584.0,0,2
189,0.0,0.0,0,2
190,605119.0,605119.0,0,2
191,1249416.0,1249416.0,0,2
192,1260332.0,1246864.0,13468,2
193,1230291.0,1243759.0,0,2
